epoch,test_accuracy,val_loss,train_loss
-1,0.51025390625,0.710786759853363,0.0
0,0.56884765625,0.6833522319793701,0.6951676621118534
1,0.77294921875,0.6500867009162903,0.6905181416336582
2,0.83447265625,0.5327568054199219,0.6676102552586953
3,0.84130859375,0.4974306523799896,0.6513823569973027
4,0.845703125,0.48711276054382324,0.644095266734434
5,0.84912109375,0.4765455722808838,0.638829898551263
6,0.8505859375,0.4685900807380676,0.6329656593938648
7,0.849609375,0.46601957082748413,0.6288843044106053
8,0.8486328125,0.4625801146030426,0.6211266793692141
9,0.845703125,0.45907077193260193,0.6128673081480475
