epoch,pearson,spearman,kendall,jaccard_top30pct
0,0.8073834412940046,0.8318981487450555,0.6403971122986677,0.7111111111111111
1,0.8718880774118507,0.8365777548019314,0.6411140224611498,0.75
2,0.8817443034299789,0.8357888739894979,0.6353344874288255,0.7906976744186046
3,0.9004390821200908,0.8371632591059406,0.6382757089552357,0.7701149425287356
4,0.9045076911349544,0.8188434887208818,0.609966451763538,0.6923076923076923
5,0.9019114822622673,0.8203285292432034,0.6076166552072104,0.6739130434782609
6,0.8996554373671144,0.803619964522774,0.5856617647058824,0.6382978723404256
7,0.8916887898256836,0.8045914405097548,0.5813508173295059,0.6210526315789474
8,0.8943056011035235,0.8127418384903168,0.5905602285753244,0.6210526315789474
9,0.8921731338797972,0.8224716794589281,0.602429571602112,0.6210526315789474
10,0.8880485137951913,0.8159495193317964,0.5931157034351465,0.6041666666666666
11,0.8871379057811793,0.8209515907530326,0.6005514705882353,0.6382978723404256
12,0.8816089053829095,0.8249771114671548,0.6068627450980393,0.6210526315789474
13,0.8848064920507319,0.8361860551613639,0.6225490196078431,0.6041666666666666
14,0.8845902305014709,0.8332641908903637,0.6186887254901962,0.5876288659793815
15,0.8802023872491342,0.8310955024032959,0.6126225490196079,0.5876288659793815
16,0.8812934103152148,0.8348048752574959,0.6186274509803923,0.6210526315789474
17,0.8737800481306189,0.8201540684367131,0.5974264705882354,0.6041666666666666
18,0.8706127550881662,0.8222603181256422,0.6016942662205094,0.5876288659793815
19,0.8722900660794346,0.8267287994964522,0.6087009803921569,0.6210526315789474
20,0.8674521260245665,0.8225630865186541,0.6050245098039216,0.5876288659793815
